decade,songs,avg_weeks_at_number_one,avg_danceability,avg_energy,avg_happiness
1950,23,3.217391304347826,51.43478260869565,42.04347826086956,62.608695652173914
1960,203,2.561576354679803,54.41379310344828,55.004926108374384,67.56650246305419
1970,253,2.067193675889328,60.14229249011858,55.65612648221344,68.6205533596838
1980,231,2.264069264069264,64.00434782608696,63.082608695652176,60.69130434782609
1990,140,3.7214285714285715,65.38129496402878,61.82014388489208,53.510791366906474
2000,129,4.0310077519379846,70.35658914728683,68.17054263565892,61.651162790697676
2010,116,4.568965517241379,69.6896551724138,66.81896551724138,55.224137931034484
2020,82,3.0121951219512195,67.67073170731707,63.40243902439025,52.609756097560975
