cache_key,found,query,track_name,artist_name,collection_name,preview_url,artwork_url,track_view_url,source
afraid::the neighbourhood,True,Afraid The Neighbourhood I Love You.,Leaving Tonight,The Neighbourhood,I Love You. (10th Anniversary Edition),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/90/ac/d7/90acd7dd-83dc-db82-09a9-2a3df55c47f2/mzaf_16845725258812983008.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/2f/8c/90/2f8c903f-6e84-b820-3ab6-d9ec0044267a/196871038430.jpg/600x600bb.jpg,https://music.apple.com/us/album/leaving-tonight/1682583963?i=1682584242&uo=4,itunes
after surf sandwich::breakfast for brunch,False,After Surf Sandwich Breakfast For Brunch Post It Beats Pt.1,,,,,,,itunes
agatha all along::kristen anderson-lopez robert lopez kathryn hahn eric bradley greg whipple jasper randall gerald white,False,Agatha All Along Kristen Anderson-Lopez Robert Lopez Kathryn Hahn Eric Bradley Greg Whipple Jasper Randall Gerald White WandaVision: Episode 7 (Original Soundtrack),,,,,,,itunes
agora estou sofrendo::calcinha preta gusttavo lima,False,Agora Estou Sofrendo Calcinha Preta Gusttavo Lima Agora Estou Sofrendo (Ao Vivo),,,,,,,itunes
agora::pablo,False,Agora Pablo 脡 S贸 Dizer Que Sim,,,,,,,itunes
aguante bonavena::almafuerte,False,Aguante Bonavena Almafuerte A Fondo Blanco,,,,,,,itunes
ain't no grave (sparse)::crooked still aoife o'donovan,False,Ain't No Grave (Sparse) Crooked Still Aoife O'Donovan Ain't No Grave,,,,,,,itunes
ain't no grave::crooked still,False,Ain't No Grave Crooked Still Shaken By A Low Sound,,,,,,,itunes
ain't talkin' 'bout dub::apollo 440,False,Ain't Talkin' 'Bout Dub Apollo 440 Electro Glide In Blue,,,,,,,itunes
ainda h谩 tempo::criolo,False,Ainda H谩 Tempo Criolo Ainda H谩 Tempo,,,,,,,itunes
al mundo le falta un tornillo::edmundo rivero orquesta de horacio salg谩n,False,Al Mundo Le Falta un Tornillo Edmundo Rivero Orquesta de Horacio Salg谩n Great Voices of Tango,,,,,,,itunes
al mundo le falta un tornillo::julio sosa armando pontier,False,Al Mundo Le Falta un Tornillo Julio Sosa Armando Pontier Tango Classics 180: La Ultima Copa,,,,,,,itunes
ala::joep beving,True,Ala Joep Beving Trilogy,Ala,Joep Beving,Trilogy,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/bd/c0/41/bdc04160-43d3-8721-078c-8ea4bc611b1a/mzaf_6626988805368407475.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/6f/fd/6c/6ffd6cf8-db9f-db28-e8fa-8a11300d1247/21UMGIM64392.rgb.jpg/600x600bb.jpg,https://music.apple.com/us/album/ala/1579499802?i=1579500871&uo=4,itunes
all i need (feat. beth hirsch)::air beth hirsch,True,All I Need (feat. Beth Hirsch) Air Beth Hirsch Moon Safari,All I Need (feat. Beth Hirsch) [Vegyn Version],Air,Blue Moon Safari,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/e1/b4/cd/e1b4cd98-d3af-8459-675c-9d2510aaed3c/mzaf_4921691683790839279.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/c3/ce/a4/c3cea432-cc27-3a83-78b2-0e3210787063/5021732744036.jpg/600x600bb.jpg,https://music.apple.com/us/album/all-i-need-feat-beth-hirsch-vegyn-version/1806143718?i=1806144055&uo=4,itunes
all is found::disney peaceful piano disney,False,All Is Found Disney Peaceful Piano Disney Disney Peaceful Piano: Breathe,,,,,,,itunes
all or nothing::datsik,False,All Or Nothing Datsik Let It Burn,,,,,,,itunes
all star::smash mouth,False,All Star Smash Mouth Astro Lounge,,,,,,,itunes
allt finns kvar::eleonora feldt,False,Allt finns kvar Eleonora Feldt Allt finns kvar,,,,,,,itunes
almost lover::a fine frenzy,False,Almost Lover A Fine Frenzy One Cell In The Sea,,,,,,,itunes
already gone::sleeping at last,True,"Already Gone Sleeping At Last Covers, Vol. 2",Already Gone,Sleeping At Last,"Covers, Vol. 2",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/5f/49/2e/5f492e6d-9e13-26f4-386c-a242b9669e3a/mzaf_3839810278628139858.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/92/4d/70/924d705b-3458-fd54-fe62-fd8a7f6d87ed/859718573654_cover.jpg/600x600bb.jpg,https://music.apple.com/us/album/already-gone/1167324661?i=1167324920&uo=4,itunes
alta esta莽茫o::avi玫es do forr贸,False,"Alta Esta莽茫o Avi玫es do Forr贸 Avi玫es do Forr贸, Vol. 3",,,,,,,itunes
al么 ex amor::humberto & ronaldo,False,Al么 Ex Amor Humberto & Ronaldo Al么 Ex Amor,,,,,,,itunes
amamos la vida::accept,False,Amamos La Vida Accept Objection Overruled,,,,,,,itunes
"amante, amiga e namorada - ao vivo::max e luan",False,"Amante, Amiga e Namorada - Ao Vivo Max e Luan Esqueminha (Ao Vivo)",,,,,,,itunes
american beauty::drew holcomb & the neighbors,False,American Beauty Drew Holcomb & The Neighbors Medicine,,,,,,,itunes
anatomy of change::oto roth,False,Anatomy of Change Oto Roth Anatomy of Change,,,,,,,itunes
anbessa::akal茅 wub茅 manu dibango,False,Anbessa Akal茅 Wub茅 Manu Dibango Sost,,,,,,,itunes
